,document_title,question_text,short_answer1,short_answer2,short_answer3,short_answer4,yes_no_answer1,yes_no_answer2,yes_no_answer3,yes_no_answer4
443,Cricket bat,what is the width of a cricket bat,"{'end_byte': 56334, 'end_token': 91, 'start_byte': 56300, 'start_token': 82}","{'end_byte': 65779, 'end_token': 783, 'start_byte': 65749, 'start_token': 774}","{'end_byte': 56324, 'end_token': 87, 'start_byte': 56300, 'start_token': 82}","{'end_byte': 56334, 'end_token': 91, 'start_byte': 56313, 'start_token': 85}",NONE,NONE,NONE,NONE
444,Along Came a Spider (film),who played alex cross in along came a spider,"{'end_byte': 47348, 'end_token': 310, 'start_byte': 47334, 'start_token': 308}","{'end_byte': 47348, 'end_token': 310, 'start_byte': 47334, 'start_token': 308}","{'end_byte': 47348, 'end_token': 310, 'start_byte': 47334, 'start_token': 308}","{'end_byte': 47348, 'end_token': 310, 'start_byte': 47334, 'start_token': 308}",NONE,NONE,NONE,NONE
445,Israeli Declaration of Independence,who was the first signatory of the israeli declaration of independence,"{'end_byte': 79274, 'end_token': 2732, 'start_byte': 79258, 'start_token': 2728}","{'end_byte': 79274, 'end_token': 2732, 'start_byte': 79258, 'start_token': 2728}","{'end_byte': 79274, 'end_token': 2732, 'start_byte': 79258, 'start_token': 2728}","{'end_byte': 79274, 'end_token': 2732, 'start_byte': 79258, 'start_token': 2728}",NONE,NONE,NONE,NONE
446,History of the periodic table,who came up with the first working periodic table,"{'end_byte': 46210, 'end_token': 194, 'start_byte': 46194, 'start_token': 192}","{'end_byte': 46210, 'end_token': 194, 'start_byte': 46194, 'start_token': 192}","{'end_byte': 46210, 'end_token': 194, 'start_byte': 46194, 'start_token': 192}","{'end_byte': 46210, 'end_token': 194, 'start_byte': 46194, 'start_token': 192}",NONE,NONE,NONE,NONE
447,Cyberman,when did cybermen first appear in doctor who,"{'end_byte': 57193, 'end_token': 178, 'start_byte': 57189, 'start_token': 177}","{'end_byte': 57193, 'end_token': 178, 'start_byte': 57189, 'start_token': 177}","{'end_byte': 57917, 'end_token': 259, 'start_byte': 57886, 'start_token': 253}","{'end_byte': 56488, 'end_token': 106, 'start_byte': 56457, 'start_token': 100}",NONE,NONE,NONE,NONE
448,The Eyes of the Dragon,the eyes of the dragon by stephen king,,,,,,,,
449,Geography of Oklahoma,oklahoma's 10 geographic regions are defined by surface features called,"{'end_byte': 56583, 'end_token': 48, 'start_byte': 56565, 'start_token': 46}",,,,,,,
450,Habitat,communities of similar organisms found in a particular environment are called,"{'end_byte': 59243, 'end_token': 92, 'start_byte': 59236, 'start_token': 91}","{'end_byte': 59066, 'end_token': 81, 'start_byte': 59059, 'start_token': 80}",,,NONE,NONE,,
451,DuckTales (2017 TV series),who plays scrooge mcduck in the new ducktales,"{'end_byte': 64433, 'end_token': 618, 'start_byte': 64420, 'start_token': 616}","{'end_byte': 64433, 'end_token': 618, 'start_byte': 64420, 'start_token': 616}","{'end_byte': 64433, 'end_token': 618, 'start_byte': 64420, 'start_token': 616}","{'end_byte': 64433, 'end_token': 618, 'start_byte': 64420, 'start_token': 616}",NONE,NONE,NONE,NONE
452,I'm In the Mood for Dancing,who wrote i'm in the mood for dancing,"{'end_byte': 61413, 'end_token': 427, 'start_byte': 61377, 'start_token': 419}","{'end_byte': 61387, 'end_token': 421, 'start_byte': 61377, 'start_token': 419}","{'end_byte': 61387, 'end_token': 421, 'start_byte': 61377, 'start_token': 419}","{'end_byte': 57295, 'end_token': 132, 'start_byte': 57285, 'start_token': 130}",NONE,NONE,NONE,NONE
453,John Quincy Adams,who warned that a president who could be reelected again and again may easily become a king,,,,,,,,
454,Thumb twiddling,what does it mean when you roll your thumbs,"{'end_byte': 56144, 'end_token': 110, 'start_byte': 56098, 'start_token': 100}",,,,,,,
455,List of 400-yard passing games in the National Football League,most passing yards in nfl history in a game,"{'end_byte': 51479, 'end_token': 983, 'start_byte': 51462, 'start_token': 980}","{'end_byte': 51953, 'end_token': 1021, 'start_byte': 51950, 'start_token': 1020}","{'end_byte': 325917, 'end_token': 25041, 'start_byte': 325900, 'start_token': 25038}",,NONE,NONE,NONE,
456,Los Angeles Dodgers,how many world series wins does the dodgers have,"{'end_byte': 52890, 'end_token': 536, 'start_byte': 52889, 'start_token': 535}","{'end_byte': 61330, 'end_token': 881, 'start_byte': 61327, 'start_token': 880}","{'end_byte': 61330, 'end_token': 881, 'start_byte': 61327, 'start_token': 880}","{'end_byte': 61330, 'end_token': 881, 'start_byte': 61327, 'start_token': 880}",NONE,NONE,NONE,NONE
457,List of countries by number of military and paramilitary personnel,who has the world's largest standing army,"{'end_byte': 83824, 'end_token': 1287, 'start_byte': 83819, 'start_token': 1286}","{'end_byte': 193092, 'end_token': 3995, 'start_byte': 193081, 'start_token': 3993}",,,NONE,NONE,,
458,Freedom of the City,what does the keys to the city mean,"{'end_byte': 88848, 'end_token': 2386, 'start_byte': 88734, 'start_token': 2364}","{'end_byte': 88848, 'end_token': 2386, 'start_byte': 88622, 'start_token': 2342}",,,NONE,NONE,,
459,Wittig reaction,why is dmf used as a solvent in a wittig reaction,,,,,,,,
460,Topographic map,what is one element a topographic map shows,"{'end_byte': 44972, 'end_token': 113, 'start_byte': 44966, 'start_token': 112}",,,,,,,
461,Anoaʻi family,who is dwayne johnson related to in wwe,,,,,,,,
462,2017 Nobel Peace Prize,who won the nobel peace prize for 2017,"{'end_byte': 58509, 'end_token': 179, 'start_byte': 58321, 'start_token': 169}","{'end_byte': 58509, 'end_token': 179, 'start_byte': 58449, 'start_token': 170}","{'end_byte': 58509, 'end_token': 179, 'start_byte': 58321, 'start_token': 169}","{'end_byte': 58509, 'end_token': 179, 'start_byte': 58321, 'start_token': 169}",NONE,NONE,NONE,NONE
463,Gravity (Sara Bareilles song),what does the song gravity by sara mean,,,,,,,,
464,List of United States cities by population,how many cities and towns are in the united states of america,,,,,,,,
465,Steve Trevor,who played chris pines secretary in wonder woman,,,,,,,,
466,Justice League (Smallville),when does clark meet the flash in smallville,,,,,,,,
467,Mason Alan Dinehart,who played bat masterson in the movie tombstone,"{'end_byte': 42882, 'end_token': 168, 'start_byte': 42863, 'start_token': 165}","{'end_byte': 42882, 'end_token': 168, 'start_byte': 42863, 'start_token': 165}",,,NONE,NONE,,
468,Boston Tea Party,why did the colonists have a problem with the tea act of 1773,"{'end_byte': 62081, 'end_token': 744, 'start_byte': 61667, 'start_token': 702}",,,,,,,
469,Easter egg,who started the tradition of coloring easter eggs,"{'end_byte': 58200, 'end_token': 225, 'start_byte': 58117, 'start_token': 221}",,,,,,,
470,British Hong Kong,why was hong kong important to the british empire,"{'end_byte': 193702, 'end_token': 3973, 'start_byte': 193670, 'start_token': 3968}",,,,,,,
471,Chymotrypsin,where does cleavage of the peptide bond by chymotrypsin occur,"{'end_byte': 54349, 'end_token': 429, 'start_byte': 53894, 'start_token': 393}","{'end_byte': 59322, 'end_token': 749, 'start_byte': 59305, 'start_token': 747}",,,NONE,NONE,,
472,Hypervalent molecule,there are five compounds in the family of sulfur-fluorine,,,,,,,,
473,European colonization of the Americas,who were the first non native settlers in the us,"{'end_byte': 47385, 'end_token': 176, 'start_byte': 47364, 'start_token': 174}",,,,,,,
474,Horse in Chinese mythology,which is not true about the chinese horse,,,,,,,,
475,Third-degree atrioventricular block,with third degree atrioventricular (av) block if the block is low in the bundle of his the pacemaker,,,,,,,,
476,The Challenge XXX: Dirty 30,who got eliminated on the challenge dirty thirty,,,,,,,,
477,Great Pyramid of Giza,how long did it take to build the great pyramid of egypt,"{'end_byte': 71226, 'end_token': 854, 'start_byte': 71212, 'start_token': 850}","{'end_byte': 64550, 'end_token': 445, 'start_byte': 64522, 'start_token': 436}","{'end_byte': 64550, 'end_token': 445, 'start_byte': 64527, 'start_token': 437}",,NONE,NONE,NONE,
478,NFL season ticket waiting lists,where am i on the steelers waiting list,,,,,,,,
479,Whole genome sequencing,which of the following is not a part of a microbes genome,,,,,,,,
480,NBC Sports Northwest,what channel is nbc sports northwest on directv,"{'end_byte': 63000, 'end_token': 1656, 'start_byte': 62916, 'start_token': 1650}",,,,,,,
481,Acronym,beginning to be a bit of an acronym,,,,,,,,
482,List of largest companies by revenue,which is the world's largest company in terms of revenue,"{'end_byte': 59998, 'end_token': 254, 'start_byte': 59991, 'start_token': 253}","{'end_byte': 59998, 'end_token': 254, 'start_byte': 59991, 'start_token': 253}","{'end_byte': 59998, 'end_token': 254, 'start_byte': 59991, 'start_token': 253}","{'end_byte': 59998, 'end_token': 254, 'start_byte': 59991, 'start_token': 253}",NONE,NONE,NONE,NONE
483,Love You to the Stars and Back,story of love you to the stars and back,,,,,,,,
484,Back to the Future (franchise),when does the new back to the future movie come out,,,,,,,,
485,Coriolis force,what is the term for circular movement around a central point,"{'end_byte': 43265, 'end_token': 170, 'start_byte': 43250, 'start_token': 168}",,,,,,,
486,Exocrine gland,where do the secretory cells of endocrine glands secrete their products,"{'end_byte': 57508, 'end_token': 110, 'start_byte': 57486, 'start_token': 108}","{'end_byte': 58519, 'end_token': 164, 'start_byte': 58508, 'start_token': 163}","{'end_byte': 58519, 'end_token': 164, 'start_byte': 58508, 'start_token': 163}",,NONE,NONE,NONE,
487,The Cosby Show,where did the cosbys live in new york,"{'end_byte': 68405, 'end_token': 906, 'start_byte': 68352, 'start_token': 896}","{'end_byte': 68405, 'end_token': 906, 'start_byte': 68188, 'start_token': 893}","{'end_byte': 62035, 'end_token': 510, 'start_byte': 62013, 'start_token': 506}",,NONE,NONE,NONE,
488,Christmas,christmas though a christian holiday began as a celebration of,"{'end_byte': 197991, 'end_token': 4121, 'start_byte': 197920, 'start_token': 4112}",,,,,,,
489,Beer Hall Putsch,where did the beer hall putsch take place,"{'end_byte': 71697, 'end_token': 400, 'start_byte': 71638, 'start_token': 397}","{'end_byte': 71697, 'end_token': 400, 'start_byte': 71638, 'start_token': 397}","{'end_byte': 71697, 'end_token': 400, 'start_byte': 71638, 'start_token': 397}",,NONE,NONE,NONE,
490,Ides of March,who said beware of the ides of march,"{'end_byte': 69083, 'end_token': 1002, 'start_byte': 68970, 'start_token': 998}","{'end_byte': 68576, 'end_token': 979, 'start_byte': 68506, 'start_token': 977}","{'end_byte': 67754, 'end_token': 888, 'start_byte': 67748, 'start_token': 886}",,NONE,NONE,NONE,
491,Mean center of the United States population,in what state was the united states center of population gravity located during the period 1790,"{'end_byte': 61157, 'end_token': 340, 'start_byte': 61149, 'start_token': 339}","{'end_byte': 61157, 'end_token': 340, 'start_byte': 61136, 'start_token': 336}","{'end_byte': 61157, 'end_token': 340, 'start_byte': 61149, 'start_token': 339}","{'end_byte': 61157, 'end_token': 340, 'start_byte': 61149, 'start_token': 339}",NONE,NONE,NONE,NONE
492,"Girl, Interrupted",where does the girl who was supposed to die take place,,,,,,,,
493,Martie Maguire,who play the wilson sisters in white chicks,,,,,,,,
494,List of political parties in South Korea,what are the political parties in south korea,,,,,,,,
495,Dancing with the Stars (U.S. season 26),who are the stars in dancing with the stars,"{'end_byte': 60478, 'end_token': 365, 'start_byte': 60459, 'start_token': 361}","{'end_byte': 60478, 'end_token': 365, 'start_byte': 60459, 'start_token': 361}","{'end_byte': 60478, 'end_token': 365, 'start_byte': 60459, 'start_token': 361}",,NONE,NONE,NONE,
496,Presidential system,how does the system of checks and balances enable congress to control the presidents foreign policy,,,,,,,,
497,TI-84 Plus series,what is the difference between ti 84 plus and silver,,,,,,,,
498,World Teachers' Day,who proclaimed 5th october as world’s teachers day,"{'end_byte': 48413, 'end_token': 278, 'start_byte': 48307, 'start_token': 275}",,,,,,,
499,North Pole,what is the longitude and latitude of the north pole,,,,,,,,
500,List of The Next Step episodes,when does season 6 of the next step start,"{'end_byte': 44281, 'end_token': 197, 'start_byte': 44277, 'start_token': 196}","{'end_byte': 44281, 'end_token': 197, 'start_byte': 44277, 'start_token': 196}","{'end_byte': 44281, 'end_token': 197, 'start_byte': 44277, 'start_token': 196}","{'end_byte': 44281, 'end_token': 197, 'start_byte': 44277, 'start_token': 196}",NONE,NONE,NONE,NONE
501,Total Drama,what is the third season of total drama,"{'end_byte': 88792, 'end_token': 2676, 'start_byte': 88770, 'start_token': 2672}","{'end_byte': 81179, 'end_token': 1856, 'start_byte': 81169, 'start_token': 1854}","{'end_byte': 65470, 'end_token': 618, 'start_byte': 65448, 'start_token': 614}","{'end_byte': 65470, 'end_token': 618, 'start_byte': 65448, 'start_token': 614}",NONE,NONE,NONE,NONE
502,South Korea at the Olympics,how many times has south korea held the winter olympics,"{'end_byte': 70717, 'end_token': 662, 'start_byte': 70714, 'start_token': 661}",,,,,,,
503,The Lincoln Lawyer (film),what happens at the end of lincoln lawyer,,,,,,,,
